Genre,Plot,Ratings,Title
Comedy Drama,A humorous reflection on the phenomenon midlife crisis Married advertising executive Freek leaves with his young lover Alberta to Canada where he learns that he is not the successful man he thought he was,6.0,Alberta
Comedy Drama,A humorous reflection on the phenomenon midlife crisis Married advertising executive Freek leaves with his young lover Alberta to Canada where he learns that he is not the successful man he thought he was,6.0,Alberta
Documentary Adventure Drama,Alberta Legacy2 is Continued of Alberta Legacy1 and Discusses about brain drain in Iran,6.7,Alberta Legacy 2
Documentary Short,,8.5,Sekmadienis Evangelija pagal liftininka Alberta
Documentary Music,This music biography portrays the life of the legendary blues singer and songwriter Alberta Hunter After 40 years of show business success beginning in the 1920s Alberta became a nurse,7.7,Alberta Hunter My Castles Rockin
Short,,7.3,Alberta Bound
Documentary Short,,,Two Dreams of a Nation The Fortin Family of Quebec and Alberta
Comedy Drama,A humorous reflection on the phenomenon midlife crisis Married advertising executive Freek leaves with his young lover Alberta to Canada where he learns that he is not the successful man he thought he was,6.0,Alberta
FilmNoir Thriller,As two couples are visiting Niagara Falls tensions between one wife and her husband reach the level of murder,7.0,Niagara
Drama Romance,An outsider and a young woman plagued by Tourettes syndrome meet and together journey to Canada,7.1,Niagara Niagara
Drama Romance,An outsider and a young woman plagued by Tourettes syndrome meet and together journey to Canada,7.1,Niagara Niagara
Drama,The Niagara Motel and the attached Riverside Grill located in Niagara Falls are owned and operated by Serbian father and daughter the always angry Boris and hard working Sophie Through,5.8,Niagara Motel
Documentary Short,A stationary camera looks west across Niagara Falls from the United States side the Niagara River rushes toward the falls from right to left Virtually overlooking the falls and,5.5,Niagara Falls
Documentary Adventure,When pro kayaker Rafa Ortiz decides to follow his dream to paddle over Niagara Falls he sets in motion an incredible series of events that eventually takes on a life of its own To prepare,6.1,Chasing Niagara
Documentary Short,An IMAX recount of the great history of Niagara Falls Including the native legends the historical importance and the miracles of those who braved these mighty waters,5.4,Niagara Miracles Myths and Magic
Documentary Short,A stationary camera looks west across Niagara Falls from the United States side the Niagara River rushes toward the falls from right to left Virtually overlooking the falls and,5.5,Niagara Falls
Documentary Short,Here we show Captain N P Nissen formerly known as Captain Bowser making a trip through the Whirlpool Rapids in his famous twentyfour foot craft known as the Fool Killer Captain,5.8,Captain Nissen Going Through Whirlpool Rapids Niagara Falls
Family Animation Short,Woody Woodpecker visits Niagara Fallson the Canadian and American side both according to some viewersand asks about going over the famous falls in a barrel which the guard tells him,7.3,Niagara Fools
