Author,Date,Location,Text
GatesAndLogic,2020-03-13 00:48:15,NAN,twtDaetopin Canada has two thingsGays and weedIts pretty great here
Debalap,2020-03-13 00:48:15,Ontario Canada,RT Canadafuck yeah
michaelgreco82,2020-03-13 00:48:15,NAN,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
stf_johnny,2020-03-13 00:49:35,"Detroit, MI",RT Every university about the Corona Virus closes online classes longer spring break SHSU
ladyriven,2020-03-13 00:49:35,"Maryland, United States",RT This is amazing and Ive been hoping something like this would be coordinated Thousands of us have ample experien
MushroomPowers,2020-03-13 00:49:35,"Ann Arbor, MI",RT Collections manager of fungi position open at the University of Michigan Herbarium Work closely with UMichEEB cu
reagan_mclellan,2020-03-13 00:49:35,Bristow VA,Socialized medicine is a disaster ask any military dependent or solider PragerFORCE
churchlady320,2020-03-13 00:48:15,California,AOC No they have a mixed system So does Italy Only Canada Ireland and the UK have single payer The failure or our response has far less to do with the payment system than the executive in charge of it
kenpty,2020-03-13 00:48:15,899562979527528,RT Is there any country other than Canada that has 100 cases and has not enacted some form of travel ban andor mass gathering ban We seem to be the global laggard and seriously offside
Sean_Of_Canada,2020-03-13 00:48:15,Eastern Canada,RT Trumps best move is to resign and use that promise to make a deal to avoid prison
JudyRb48,2020-03-13 00:48:14,Toronto,RT VincentCrypt46 JudyRb48 Doesnt it strike anyone as odd that China seems to have a huge supply of extremely large fogging trucks that dont exactly look new Maybe they have more mosquitoes than canada
scorpionsk,2020-03-13 00:48:14,NAN,RT Read a summary of my call with Prime Minister BorisJohnson which focused on the need for international cooperation to limit the spread of COVID19 and protect people in Canada and the UK
uOttawaInclu,2020-03-13 00:48:14,Ottawa Ontario,Diversity is quite simply representation Recognizing our many unique dimensions like race ethnicity gender sexual orientation to name just a few amp seeing them represented where we workMaya Toussaint Microsoft News Centre Canada 20200224
HenryImbriaco,2020-03-13 00:48:13,Toronto Ontario Canada,RT COVID19 pandemic means its time for Canada to get serious about aggressive social distancing experts
cdngarbageman,2020-03-13 00:48:12,Kelowna British Columbia,NanaimoCanada RickHi2315 JustinTrudeau POTUS Youre a joke
onetntsis,2020-03-13 00:48:12,powYOW Did you feel that,RT First Nations leaders from Manitoba were in Havana Cuba this week to discuss a possible healthcare partnership Cuba is offering to send doctors to First Nations communities and teach Indigenous students at Cubas international medical school
speerzy7,2020-03-13 00:48:12,North Gower ON Canada,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
Mari_F18,2020-03-13 00:48:12,Minnesota USA Florida USA,RT Inquiring minds want to know Why are all the most corrupt people suddenly getting afflictedCanadas Trudeau is selfquarantining after wife tested for coronavirus
neil_moreau,2020-03-13 00:48:11,Port Severn On,MrsHughes29 uofg LangUofG UofGuelphNews UofGCEPS guelphgryphons OntVetCollege UofGuelphOAC UofGCBS UoGARTS CSAHSUoG UofGStudentExp The science says that only 185 people have been infected in Canada since the start of the virus back in January To shut down our nation is rational thinking
Hitecsoftouch,2020-03-13 00:48:09,Edmonton AB,RT Yesterday I went to a Costco store where I stumbled across this couple loading their pickup with piles of Lysol wipes They hit up all the local Costcos daily clearing shelves of wipesliquid cleaner and reselling them on Amazon via torontostar
kenandjacqui,2020-03-13 00:48:09,NAN,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
petiterouge,2020-03-13 00:48:09,Toronto Canada,RT No quarts of milk in Bellingham No trips to Disneyland BCs health minister advised against all nonessential travel outside of Canada including the US one of several measures to stop the spread of coronavirus in the province More
hopeworldkaley,2020-03-13 00:49:35,texas,the world hates my university
Nerdvice451,2020-03-13 00:49:35,"iPhone: 40.497150,-88.939583",RT Inquiring minds want to know Why are all the most corrupt people suddenly getting afflictedCanadas Trudeau is
GradWriteSlack,2020-03-13 00:49:35,The Graduate World,To all you lovely people who would like to join please email us from your institutions email addressEmail gra
MumbosDebra,2020-03-13 00:49:36,"Alberta, Canada",RT This is Canadas Deputy Prime Minister Chrystia Freeland for those of you that havent heard her heres how she r
ANDREWTST2017,2020-03-13 00:48:09,Canada,RT Hockey Canada has cancelled all Hockey events including the Allan CupWill post the media release when i have it
jhermann,2020-03-13 00:48:09,Newtown Creek,RT Literally the only good news
anmamequ,2020-03-13 00:48:08,operationsmanagerkbradioca,RT anmamequ KBRadioCanada Play some APRIL WINE from nature of the Beast
british_north,2020-03-13 00:48:08,Canada,By negotiating directly with the Office of the Hereditary Chiefs of the Wetsuweten Canada and British Columbia give legitimacy to a group of bullies and abusers of women Wetsuweten TrudeauFail cdnpoli
ZonePatroller,2020-03-13 00:48:08,NAN,RT If you ever wanted to see what capitalism rewards here is an example a couple that made 100K selling Lysol wipes
virginiahair1,2020-03-13 00:48:08,NAN,RT Social media is responsible for1 Me realizing there are a lot more nutjobs in Canada than I knew2 Me being unable to consider CPCHQ as an option because most of 1 are their supporters and the rest of 1 seem to be their politicians
ScottCampbell72,2020-03-13 00:48:07,Fredericton NB Canada,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
PetuniaProgress,2020-03-13 00:48:07,BC,RT If you ever wanted to see what capitalism rewards here is an example a couple that made 100K selling Lysol wipes
numbrrzz,2020-03-13 00:48:06,NAN,RT MNeigham JJCrosstrainers ErinOTooleMP PeterMacKay Wait till they are in majority Our future looks pretty bad Canada handed themselves over We are done
archiebird4,2020-03-13 00:48:06,Ann Arbor Michigan,RT Inquiring minds want to know Why are all the most corrupt people suddenly getting afflictedCanadas Trudeau is selfquarantining after wife tested for coronavirus
ClientGreat,2020-03-13 00:48:06,Canada,Superstore canada Right now CoronaVirusCanada
Ethan_Lou,2020-03-13 00:48:04,Toronto Singapore,Canada battens down as Trudeaus wife tested for coronavirus and NHL suspends games
3rdtimewalter,2020-03-13 00:48:04,Canada,RT The nasty rude hateful comments by Trudeau haters are an embarrassment to Canada cdnpoli
JFRPrincipal,2020-03-13 00:48:04,NAN,Ontario to shut down publicly funded schools for 2 weeks after March Break over COVID19 concerns Watch the UGDSB website for further info JohnFRoss RossAthletics1
mikecurt12,2020-03-13 00:48:03,St Johns NL,HockeyCanada This is a bit vague what do Hockey Canada sanctioned activities include
joexokx,2020-03-13 00:49:36,,cant get rid of the british huh felt that
vexschmex,2020-03-13 00:49:36,,RT First Nations leaders from Manitoba were in Havana Cuba this week to discuss a possible healthcare partnership
ArthurHagan7,2020-03-13 00:49:12,Edmonton Alberta,jkenney Stop begging The rest of Canada owes us nothing Put in a 5 sales tax
EDENGATEKEEPER,2020-03-13 00:49:36,,RT Dayton cancels school to avoid community spread entire student body immediately gathers for massive street party
ToshinUrameshi,2020-03-13 00:48:03,Fresno CA,RT If you ever wanted to see what capitalism rewards here is an example a couple that made 100K selling Lysol wipes
QueenB_1967,2020-03-13 00:48:03,Beautiful Muskoka,RT WHY am i being FORCED to fund this dribblegarbageWHERE the hell do they find these geniuses to write these Opinion piecesCanada has been a ABSOLUTE DISASTER regarding COVID19THE US acted earlyYET the CBC actually prints this sht
WEHPscout,2020-03-13 00:48:03,Saskatchewan,Thats a wrap for hockey this season scouting wise as Hockey CANADA has shut down the season Draft it appears will now go ahead without Manitoba Alberta and BC provincial camps
ivaninloretto,2020-03-13 00:48:02,NAN,RT COVID19 forces Ontario government to extend school March break for 2 weeksAn excellent move by the Ford government This will help flatten the curve and prevent our hospitals from being overwhelmed like the hospitals in ItalyCdnpoli fordnation
cjerv,2020-03-13 00:48:02,N22 188 E113 561,PattyHajdu CPHOCanada GovCanHealth Let me get this straight I watched CPHOCanada PattyHajdu and JustinTrudeau Et Al give a COVID19 press conference 36 hours ago Today JT is in selfquarantine while you are visiting the Public Health Agency of No one wearing a mask Who is running this show
EkaSapu99315503,2020-03-13 00:48:02,NAN,RT Global stocks past 24 hoursItaly 166Brazil 147Spain 146Canada 12France 12Germany 12UK 109US Dow 10Russia 82 India 82Australia 73Turkey 72Indonesia 5Japan 44S Korea 38HK 36Saudi 3China 15
CookKCEgyptian,2020-03-13 00:48:02,United States,RT Hey friends I tweeted about some coronavirus news up in Canada Trudeau quarantinedCancer Dr in my city infected14 patients quarantinedAll Ontario schools closed until Apr 6Now i found out 2 kids in my kids school have symptomsbeing testedThis hitting home
BalconySpeech,2020-03-13 00:48:02,Vancouver Canada,BBC News Canadian PM Justin Trudeau selfisolating over coronavirus fears
ffaithmillerr,2020-03-13 00:48:01,Barrie Ontario,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
Canadian_Guano,2020-03-13 00:48:00,Hockey Hell,RT Hockey Canada Season Ends AJHL Playoffs Postponed The Hockey Canada Board of Directors has made the decision to cancel all Hockey Canadasanctioned activities including national championships until further notice effective Friday March 13 2020
APorter77,2020-03-13 00:48:00,Ottawa Ontario,RT Shut it down Its time for Canada to get serious coronavirus and embrace SocialDistancing and FlatteningTheCurve by stopping mass gathering closing schools and more by picardonhealth via GlobeDebate covid19
Carezzzz,2020-03-13 00:48:00,Vancouver British Columbia,RT Canadafuck yeah
el_zorab,2020-03-13 00:48:00,Toronto,RT This is whats happening in Trudeaus CanadaYoure arriving from a disaster area where doctors are now letting older patients die because of lack of resourcesWELCOME No questions asked Just read this paper about some virus if you have a minute could be useful
VeryWhiteGuy,2020-03-13 00:48:00,NAN,RT If you ever wanted to see what capitalism rewards here is an example a couple that made 100K selling Lysol wipes
PJHLYeckDiv,2020-03-13 00:47:59,Ontario Canada,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
morrisseyhockey,2020-03-13 00:49:36,"Tignish, PEI",RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned
stacey_super,2020-03-13 00:49:36,new york,RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d
melanatedshawti,2020-03-13 00:49:37,"Bellflower, CA",RT unless youre going to gradmedlaw school most jobs do not give a fuck about your GPA jobs after school come fro
siwa_asinga,2020-03-13 00:49:37,St. Louis,RT am i the only one that doesnt want my university to go to online courses i didnt sign up to take online course
Amykook97,2020-03-13 00:49:37,,RT BTS Army using its powers for good during Corona Timesharing positive information and relief donation links Be l
MOngMD,2020-03-13 00:49:12,"Toronto, Canada",Thank god for universal healthcare in Canada
JAX_357,2020-03-13 00:47:59,Southern Ontario,RT US judge orders release of exintelligence analyst Chelsea Manning held for refusing to testify in Wikileaks probe
BookishDi,2020-03-13 00:47:58,A library,RT The Winnipeg Jets are partowned by a man named David Thomson He is the richest man in Canada worth about 378 billion If he went completely insane and gave every parttime employee 50000 to selfquarantine for the next year hed still be worth about 378 billion
mmmd_cl,2020-03-13 00:47:58,NAN,RT World Womens Curling Championship 2020 cancelled in Prince George Canada gtgt WWCC2020 curling
Sheryl2100,2020-03-13 00:47:58,United States,RT There are medical professionals in Canada who are now advocating for closing the border with the United States to prevent the spread of the coronavirus Think about that
OilQueen11,2020-03-13 00:47:57,NAN,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
StaceyOIrish,2020-03-13 00:47:56,NAN,RT Just heard WTF 84 THATS CORRECT 84 FLIGHTS ARRIVE IN CANADA FROM CHINA EVERY WEEKAnd all Canada our Liberal Govt doesIs hand then a piece of paper If your not feeling well see a DoctorStupidity negligence criminalWho voted for this Greasy Beard Bastard
TheEvanMcLean,2020-03-13 00:47:56,USACanada,RT China and Russia are using their diaspora in Canada and undercover agents to try and sway public opinion manipulate the media and influence government decisionmaking according to a new redacted intelligence report
Belladonnahome,2020-03-13 00:47:56,Atlanta GA,RT HOT PRODUCTS partydress freezer makeup makeup earrings necklace fashion caraccessories USA Canada Australia UnitedKingdom
Notso_Wild_Bill,2020-03-13 00:47:56,Texas USA,RT Hey everybodyHeres how you can GET OUT OF JAIL after committing treason and later refusing to cooperate with the government on a national security investigation against another traitor and GRU asset
FroydogM,2020-03-13 00:47:56,NAN,RT Finally some GOOD newsBBC News Chelsea Manning case Judge orders release from prison
coryworon,2020-03-13 00:47:55,Toronto,All Hockey Canada sanctioned activities suspended as of tomorrow as well
crystal78243104,2020-03-13 00:47:55,NAN,RT Canadian Prime Minister Justin Trudeau selfisolating over coronavirus fears his office confirms
Jarod23409143,2020-03-13 00:47:55,ALBERTA,RT The Winnipeg Jets are partowned by a man named David Thomson He is the richest man in Canada worth about 378 billion If he went completely insane and gave every parttime employee 50000 to selfquarantine for the next year hed still be worth about 378 billion
hewieduck,2020-03-13 00:47:54,NAN,RT Letter from my Infectious Diseases Colleagues UofTDoM to CPHOCanada urging her PattyHajdu JustinTrudeau and others to advise all Canadians against outofcountry travel Please RT widely to make this happen amp prevent overwhelming our hospitals and keep people safe COVD19
JeffHawken96,2020-03-13 00:47:54,Canada,RT As expected and according to release The Hockey Canada Board of Directors has made the decision to cancel all Hockey Canadasanctioned activities including our national championships until further notice effective Friday March 13 2020
kpopingthatass,2020-03-13 00:49:37,"Atlanta, GA",RT The University is 100 protected from COVID19 thanks to Duo TwoFactor Authorization
yiIingtan,2020-03-13 00:49:37,on the road BTS paved,RT BTS Army using its powers for good during Corona Timesharing positive information and relief donation links Be l
Jdyahoo911,2020-03-13 00:47:54,Calgary,RT Yesterday I went to a Costco store where I stumbled across this couple loading their pickup with piles of Lysol wipes They hit up all the local Costcos daily clearing shelves of wipesliquid cleaner and reselling them on Amazon via torontostar
calvin_peters1,2020-03-13 00:47:53,NAN,RT Our revamped education guide Residential Schools in Canada aims to raise awareness of the history of residential schools in Canada and bring to light the importance of education in the reconciliation process Download the guide for free here
MNeville2003,2020-03-13 00:47:53,NAN,RT HOCKEY CANADA STATEMENT IN RESPONSE TO CORONAVIRUS COVID19MORE
newleftbb,2020-03-13 00:47:53,Vancouver British Columbia,RT Just went to my local WalmartSeems like theyre running out of hand sanitiserfor quite a while rubbing alcohol amp disinfecting wipes bleach paper towelamptissue boxnot many are still in stockAlso more ppl are wearing mask on campus todayCoronavirusPandemicCanada
ChayProulx,2020-03-13 00:47:53,Calgary Alberta Canada,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
lambert_pp,2020-03-13 00:47:53,Canada,RT virtually all the infections in Canada to date have been traced back to contact with people who had recently spent time overseas The coronavirus doesnt appear to be circulating in the community enforcing a ban on all public activities might be overkill
misterbennie,2020-03-13 00:47:53,Hamilton Ontario,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
BettaCharlie,2020-03-13 00:47:53,NAN,RT gtlem Canada has committed about 20 more funding per capita than the USA has Leading COVID19 doctor says Canada is doing an outstanding job in dealing with this
GregJon27277299,2020-03-13 00:47:51,Watertown NY,RT Stock Market Crashing Sports canceled Concerts canceled People dying all over the worldWhat is trump doingNOTHINGthis is why i say im lucky im in Canada You can say all the crap you want about Trudeau but hes 1000 times better than trump
massmaharaaj,2020-03-13 00:47:51,High Spirits,RT Any one coming from usa my friends father met with an accident and undergone knee operation he needs one kind of tablets which is worth 25k in india but if we get from usa or canada price is around 9kweight of tablets is 600gramsPls rt AGirlIsSou SuperGirl18
kevkevin1973,2020-03-13 00:47:51,NAN,jaketapper Justin Trudeaus has been and selfisolation to whats going on in Canada 5 years now
Chris86767838,2020-03-13 00:47:50,Sydney New South Wales,RT BREAKING Canadas Prime Minister is self isolating after his wife Sophie Grgoire Trudeau returned from London and started showing mild flulike symptoms As a result the in person First Ministers meeting has been postponed
coletodd_,2020-03-13 00:47:50,North Vancouver British Columbia,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
pat_kunz,2020-03-13 00:47:50,NAN,JamesStacey rv59268 EmmanuelMacron EducationFrance ScottMorrisonMP Here in Canada many concerts and sporting events being postponed or cancelled Some jurisdictions having limits on size of allowable crowds 250 max is the number being used N American sports leagues suspending play
sherissezip,2020-03-13 00:47:50,NAN,RT Following Hockey Canadas decision to cancel all Hockey Canadasanctioned activities due to concerns over COVID19 Hockey Manitoba has canceled all sanctioned games and programs effective immediately
shes_a_beaute,2020-03-13 00:49:38,,RT Per the US ARMY DO NOT click on a website that is regarding the global virus cases with a url pertaining to Joh
delaniebraun,2020-03-13 00:49:38,"Michigan, USA",RT The University is 100 protected from COVID19 thanks to Duo TwoFactor Authorization
j59841320,2020-03-13 00:49:38,,RT This is good Folks in bcpoli listened to scientists experts and responded reasonably to the Covid19 pandemic
Sean_Of_Canada,2020-03-13 00:47:50,Eastern Canada,RT ErinOTooleMP I know Cant he go into orbit like Superman use a combo of his microscopic vision and superbreath to suck up all the germs and blow them into the sun Such a slacker PS youre an idiot
ivaninloretto,2020-03-13 00:47:49,NAN,RT This is whats happening in Trudeaus CanadaYoure arriving from a disaster area where doctors are now letting older patients die because of lack of resourcesWELCOME No questions asked Just read this paper about some virus if you have a minute could be useful
nonsellcom,2020-03-13 00:47:49,NAN,RT CPHOCanada The best way to prevent the spread of COVID19 and other respiratory infections is to wash your hands often with soap and water for at least 20 seconds Download
TasinaP,2020-03-13 00:47:49,Stoney 142 143 144 Alberta,RT If you develop fever cough or difficulty breathing after having travelled or have been in contact with someone diagnosed with COVID19 call a health care professional or local Public Health Authority For more info coronavirus
VitaminKLo,2020-03-13 00:47:49,NAN,RT China and Russia are using their diaspora in Canada and undercover agents to try and sway public opinion manipulate the media and influence government decisionmaking according to a new redacted intelligence report cattunneycbc
brinxee,2020-03-13 00:47:49,Canada,RT JustinTrudeau anik1968 cafreeland PattyHajdu CPHOCanada BillMorneau jyduclos Dr William Schaffner Professor of Preventive M amp Infectious Diseases at Vanderbilt University School of Medicine today on CNN said travel bans SLOW DOWN virus infection Chief Dr Fauci confirms Air Canada stopped but carriers from China Italy amp other coming in DAILY
ShelbyHappy,2020-03-13 00:47:48,At corner of WalkDont Walk,RT The best way to prevent the spread of COVID19 and other respiratory infections is to wash your hands often with soap and water for at least 20 seconds Download PHACs poster for important steps of good handwashing coronavirus
BCGospeller4,2020-03-13 00:47:48,Canada,RT Is there any country other than Canada that has 100 cases and has not enacted some form of travel ban andor mass gathering ban We seem to be the global laggard and seriously offside
gmarie55,2020-03-13 00:47:48,NAN,RT DonMartinCTV JustinTrudeau PeterMacKay Whenif we get past this there will be a lot said about how abysmally Americas President realDonaldTrump handled the pandemic Canada should take note which leaders are running around saying what a wonderful job hes doing PeterMacKay youre on notice Bozo cdnpoli
Annex_Canada,2020-03-13 00:47:48,Oklahoma City OK,RT Iran asks for billions in loans as virus death toll climbs PBS NewsHour
Allison26421829,2020-03-13 00:47:47,NAN,RT Hockey Canada has announced that its Board of Directors has made the decision to cancel all Hockey Canadasanctioned activities until further notice
leith_eh_c,2020-03-13 00:47:47,NAN,RT Hockey Canada Season Ends AJHL Playoffs Postponed The Hockey Canada Board of Directors has made the decision to cancel all Hockey Canadasanctioned activities including national championships until further notice effective Friday March 13 2020
akurjata,2020-03-13 00:47:47,Prince George Lheidli Tenneh,trying to figure out if its worth it to get extra travel insurance on a domestic trip within canada for end of april airlines are offering credits but not sure there will be a chance to use them before years end question is whether insurance would cover unforced cancelation
PCAHAMain,2020-03-13 00:47:47,Lower Mainland BC,RT STATEMENT March 12 2020 Official statement from HockeyCanada and BC Hockey regarding the cancellation of all Hockey Canadasanctioned activities due to the coronavirus COVID19
OstlerJim,2020-03-13 00:47:46,NAN,RT Trudeau is so wedded to his vision of a multicultural Canada with open borders welcoming the whole world without discrimination that he will dogmatically stick to it in all circumstances and no matter the costs even if it means risking the lives of millions of Canadians
tanyzeey,2020-03-13 00:49:38,,RT Some good news to cheer you upKorea and China are recovering Vietnam had their cases under control until British
Austin_Aynes,2020-03-13 00:49:38,"Indianapolis, IN",RT The Winnipeg Jets are partowned by a man named David Thomson He is the richest man in Canada worth about 378 b
evergreenabby,2020-03-13 00:49:38,Missouri State University,RT A glimpse at how the US is handling COVID19My dad works at Missouri State University He says hes not feelin
NewImproved9,2020-03-13 00:47:46,British Columbia Canada,RT Alberta is in uncharted territory facing a global pandemic economic crisis and overseas price war that all significantly threaten the health of our people and our economyAlbertans have always been there for Canada Now we need Canada to return the favour
nonsellcom,2020-03-13 00:47:45,NAN,Prime Minister Justin Trudeau spoke with the President of the United States of America Donald Trump Read a summary of the call here
travis_mcmaster,2020-03-13 00:47:45,Squamish bc,RT All parkrun events in Canada have been suspended with immediate effect due to the ongoing COVID19 Coronavirus situationAt this stage we have cancelled events up to the end of MarchFollow this link for Please share loveparkrun
ScootJD,2020-03-13 00:47:45,Waterloo ON Canada,RT Lichens are everywhere across Canadas boreal and arctic ecosystems including peatlands So lets vote for Canadas national lichen PeatTwitter lichens
brinxee,2020-03-13 00:47:45,Canada,RT JustinTrudeau cafreeland PattyHajdu CPHOCanada BillMorneau jyduclos 1We need to stop incoming flights from risk areas USA Scientists says it buys time Fauci2 Home quarantine should be enforced by law3 An elected representative representing you amp Gov should hold daily Press Conference We listen to Scientists but we elect LEADERS
AnimalsHolbox,2020-03-13 00:47:45,NAN,SealDefence Help to stop the seal hunt in Canada Plz sign
beard_trudeau,2020-03-13 00:47:45,NAN,Bontsy CP24 Too bad Canada doesnt have one
nicoleb1923,2020-03-13 00:47:45,NAN,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
Leda555Nixon,2020-03-13 00:47:44,Northwest England,RT Watch Muslim refugee says she is ashamed to be called Canadian and live in CanadaRT
confirm01,2020-03-13 00:47:44,Somewhere on Earth,RT RT if you are still planning to be in Canada this year or in the nearest future
joni_novotnak,2020-03-13 00:47:44,NAN,RT kayleighmcenany VicePresident Mike Pence said the Trump administration would not be able to meet its objective of delivering one million testing kits this week
KatMBoyes,2020-03-13 00:47:44,Calgary Alberta,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
izuukuns,2020-03-13 00:47:43,dni if ur a map sheher,shits crazy and all but I hope I can still go on my trips this summer LMAO if I die at least I die in japan or Canada
zachhaller,2020-03-13 00:47:43,Seattle Washington,Inquiring minds want to know Why are all the most corrupt people suddenly getting afflictedCanadas Trudeau is selfquarantining after wife tested for coronavirus
LeeAirton,2020-03-13 00:47:43,Kingston Ontario,RT Workers including those in the gigeconomy should be able to take a paid as well as jobprotected leave of 14 days if they need to stay home due to exposure to COVID19 We cant neglect workers who already face the greatest amount of precarity
KG2794,2020-03-13 00:49:39,Forest Moon of Endor,Canada about to save everyone
PutEmToSchleep,2020-03-13 00:49:39,Nevada,RT University to move to alternate operations March 23 2020 All classes will move online Campus to remain open Vis
BBDailyFix,2020-03-13 00:49:39,,By a vote of 9 3Micheal has been evicted from the Big Brother Canada house BBCAN8
Anderson_Kayla,2020-03-13 00:47:43,NAN,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
WNGHAWild,2020-03-13 00:47:43,Cobourg ON,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
rosswilson69,2020-03-13 00:47:43,Turtle Island,PattyHajdu CPHOCanada GovCanHealth This photoop will all of those pairs of hands and potentially drippy noses is the height of out of touch particularly when youre the highest ranking health official of a sovereign nation Creator help us all Health OVER Politics A country begs u
StanksSports,2020-03-13 00:47:42,Saskatoon Saskatchewan,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
03Gunning,2020-03-13 00:47:42,NAN,RT In consideration for the health and wellbeing of everyone involved we have made the decision to cancel the live audience for Canada Reads We encourage everyone to follow the show on their favourite CBC platform
QueenB_1967,2020-03-13 00:47:42,Beautiful Muskoka,RT Canada has seen a lot of train wrecks in the past few weeks but here is one more
NGHAcoachdev,2020-03-13 00:47:42,Ottawa Ontario,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
samcharms68,2020-03-13 00:47:41,NAN,RT As expected and according to release The Hockey Canada Board of Directors has made the decision to cancel all Hockey Canadasanctioned activities including our national championships until further notice effective Friday March 13 2020
salesforce,2020-03-13 00:47:41,San Francisco CA,RT We are strongly encouraging employees across the US Canada as well as EMEA to work remotely including all European countries the UK Israel amp Morocco This is decided based on local guidance amp to protect employees their families amp our communities
j2w4habs25,2020-03-13 00:47:41,Toronto Ontario,RT Sandy Bay Ojibway First Nation shuts down school daycare to prevent coronavirus spread
Super__Crusader,2020-03-13 00:47:39,NAN,CPHOCanada Joe86538718 Stopping travel from infection hotspots would help tooCanadians will hold Justin Trudeau and the LPC accountable for every Canadian life the WuhanVirus ends or destroysStayStrongCanada Be healthy be prepared and dont give in to fearmongering politicians and MSM
ombudsman4truth,2020-03-13 00:47:39,NAN,Were told that were failing on testing though so no one can verify that number
PretendEditor,2020-03-13 00:47:39,Wisiamkik Gespegewagi,RT Hockey Canada has cancelled all sanctioned events effective Friday March 13 2020
Sean_Of_Canada,2020-03-13 00:47:38,Eastern Canada,RT ErinOTooleMP A US national security analyst just declared Trump useless in solving the corona crisis She said it is up to US governors mayors and world leaders such as PM Trudeau of Canada Take down this shameful tweet Tool
SeanLyall,2020-03-13 00:47:38,Nain Nunatsiavut Canada,RT HOCKEY CANADA STATEMENT IN RESPONSE TO CORONAVIRUS COVID19MORE
Travelin_Golfer,2020-03-13 00:49:39,"Ontario, Canada",RT ITS TIME TO SIGNIFICANTLY REDUCE politicians RATE OF PAYand PENSION RATE unless some measurable improvements are
dmrider,2020-03-13 00:49:39,Toronto,RT If you ever wanted to see what capitalism rewards here is an example a couple that made 100K selling Lysol wipe
Patrici23976441,2020-03-13 00:49:39,,RT Chrystia Freeland says the Trump administration did not give Canada a heads up that it would restrict passenger tra
millermagee,2020-03-13 00:49:40,,RT mmcintire My sons friend came into JFK this week with a 103 fever Took himself off his next flight bc he was too
l_utka,2020-03-13 00:47:38,NAN,RT In response to the COVID19 crisis the bishops of Quebec have cancelled Masses across the province until further notice
JimHague9,2020-03-13 00:47:38,Markham,RT This is happening in my city right now in Ontario Canada not my video CoronaVirusCanada
KoniHowie,2020-03-13 00:47:38,NAN,cafreeland jkenney Stop air flights from Coronavirus hotspots into Canada already You sound ignorant that this wont curb the spread of the virus when its known that the virus originated outside of Canada and brought in An no you arent screening at airports
YokoS25810743,2020-03-13 00:47:37,NAN,Coronavirus US is failing on testing says Fauci
cindian1,2020-03-13 00:47:36,NAN,RT Wheres the national plan to house Canadas homeless and vulnerable populationCOVID19 is showing how unequal Canada really isIts just not possible How can BCs homeless selfisolate sanitize amid coronavirus pandemic bcpoli cdnpoli
anrklein,2020-03-13 00:49:40,"Indianapolis, IN",RT Universitys proactive response to COVID19 continues w the latest Public Safety Advisory focused on travel health
_WhitneyyDawn,2020-03-13 00:49:40,nyc,RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d
SALT461,2020-03-13 00:49:40,USA,shannonrwatts uhaul Major kudos to UHaul for doin what they can to help Good example of pulling together as on
q8a_a,2020-03-13 00:49:44,KWTCO,Q8yUSA University of Wyoming
SmithhBenn,2020-03-13 00:49:44,Reno NV,RT University to move to alternate operations March 23 2020 All classes will move online Campus to remain open Visit for details resources and ongoing updates
